"x","y","species","presence"
-67.25013934,5.24986073,"myrcia_albidotomentosa",1
-66.750139342,5.24986073,"myrcia_albidotomentosa",1
-66.250139344,5.24986073,"myrcia_albidotomentosa",1
-64.75013935,5.24986073,"myrcia_albidotomentosa",1
-64.250139352,5.24986073,"myrcia_albidotomentosa",1
-63.750139354,5.24986073,"myrcia_albidotomentosa",1
-62.750139358,5.24986073,"myrcia_albidotomentosa",1
-62.25013936,5.24986073,"myrcia_albidotomentosa",1
-61.750139362,5.24986073,"myrcia_albidotomentosa",1
-61.250139364,5.24986073,"myrcia_albidotomentosa",1
-60.750139366,5.24986073,"myrcia_albidotomentosa",1
-60.250139368,5.24986073,"myrcia_albidotomentosa",1
-59.75013937,5.24986073,"myrcia_albidotomentosa",1
-59.250139372,5.24986073,"myrcia_albidotomentosa",1
-73.750139314,4.749860732,"myrcia_albidotomentosa",1
-73.250139316,4.749860732,"myrcia_albidotomentosa",1
-67.25013934,4.749860732,"myrcia_albidotomentosa",1
-66.750139342,4.749860732,"myrcia_albidotomentosa",1
-65.750139346,4.749860732,"myrcia_albidotomentosa",1
-65.250139348,4.749860732,"myrcia_albidotomentosa",1
-64.75013935,4.749860732,"myrcia_albidotomentosa",1
-64.250139352,4.749860732,"myrcia_albidotomentosa",1
-63.750139354,4.749860732,"myrcia_albidotomentosa",1
-63.250139356,4.749860732,"myrcia_albidotomentosa",1
-62.750139358,4.749860732,"myrcia_albidotomentosa",1
-62.25013936,4.749860732,"myrcia_albidotomentosa",1
-61.750139362,4.749860732,"myrcia_albidotomentosa",1
-61.250139364,4.749860732,"myrcia_albidotomentosa",1
-60.750139366,4.749860732,"myrcia_albidotomentosa",1
-60.250139368,4.749860732,"myrcia_albidotomentosa",1
-59.75013937,4.749860732,"myrcia_albidotomentosa",1
-59.250139372,4.749860732,"myrcia_albidotomentosa",1
-73.750139314,4.249860734,"myrcia_albidotomentosa",1
-70.250139328,4.249860734,"myrcia_albidotomentosa",1
-69.75013933,4.249860734,"myrcia_albidotomentosa",1
-69.250139332,4.249860734,"myrcia_albidotomentosa",1
-68.750139334,4.249860734,"myrcia_albidotomentosa",1
-67.25013934,4.249860734,"myrcia_albidotomentosa",1
-66.750139342,4.249860734,"myrcia_albidotomentosa",1
-65.750139346,4.249860734,"myrcia_albidotomentosa",1
-65.250139348,4.249860734,"myrcia_albidotomentosa",1
-64.250139352,4.249860734,"myrcia_albidotomentosa",1
-63.750139354,4.249860734,"myrcia_albidotomentosa",1
-63.250139356,4.249860734,"myrcia_albidotomentosa",1
-62.750139358,4.249860734,"myrcia_albidotomentosa",1
-62.25013936,4.249860734,"myrcia_albidotomentosa",1
-61.750139362,4.249860734,"myrcia_albidotomentosa",1
-59.75013937,4.249860734,"myrcia_albidotomentosa",1
-59.250139372,4.249860734,"myrcia_albidotomentosa",1
-74.250139312,3.749860736,"myrcia_albidotomentosa",1
-70.250139328,3.749860736,"myrcia_albidotomentosa",1
-69.75013933,3.749860736,"myrcia_albidotomentosa",1
-66.250139344,3.749860736,"myrcia_albidotomentosa",1
-65.750139346,3.749860736,"myrcia_albidotomentosa",1
-65.250139348,3.749860736,"myrcia_albidotomentosa",1
-64.75013935,3.749860736,"myrcia_albidotomentosa",1
-64.250139352,3.749860736,"myrcia_albidotomentosa",1
-63.750139354,3.749860736,"myrcia_albidotomentosa",1
-63.250139356,3.749860736,"myrcia_albidotomentosa",1
-62.750139358,3.749860736,"myrcia_albidotomentosa",1
-56.750139382,3.749860736,"myrcia_albidotomentosa",1
-56.250139384,3.749860736,"myrcia_albidotomentosa",1
-74.250139312,3.249860738,"myrcia_albidotomentosa",1
-71.750139322,3.249860738,"myrcia_albidotomentosa",1
-71.250139324,3.249860738,"myrcia_albidotomentosa",1
-70.750139326,3.249860738,"myrcia_albidotomentosa",1
-70.250139328,3.249860738,"myrcia_albidotomentosa",1
-69.75013933,3.249860738,"myrcia_albidotomentosa",1
-69.250139332,3.249860738,"myrcia_albidotomentosa",1
-68.750139334,3.249860738,"myrcia_albidotomentosa",1
-66.250139344,3.249860738,"myrcia_albidotomentosa",1
-65.750139346,3.249860738,"myrcia_albidotomentosa",1
-64.75013935,3.249860738,"myrcia_albidotomentosa",1
-64.250139352,3.249860738,"myrcia_albidotomentosa",1
-63.750139354,3.249860738,"myrcia_albidotomentosa",1
-63.250139356,3.249860738,"myrcia_albidotomentosa",1
-59.75013937,3.249860738,"myrcia_albidotomentosa",1
-59.250139372,3.249860738,"myrcia_albidotomentosa",1
-70.750139326,2.74986074,"myrcia_albidotomentosa",1
-70.250139328,2.74986074,"myrcia_albidotomentosa",1
-69.75013933,2.74986074,"myrcia_albidotomentosa",1
-69.250139332,2.74986074,"myrcia_albidotomentosa",1
-67.750139338,2.74986074,"myrcia_albidotomentosa",1
-64.250139352,2.74986074,"myrcia_albidotomentosa",1
-63.750139354,2.74986074,"myrcia_albidotomentosa",1
-63.250139356,2.74986074,"myrcia_albidotomentosa",1
-56.250139384,2.74986074,"myrcia_albidotomentosa",1
-71.250139324,2.249860742,"myrcia_albidotomentosa",1
-70.750139326,2.249860742,"myrcia_albidotomentosa",1
-70.250139328,2.249860742,"myrcia_albidotomentosa",1
-69.75013933,2.249860742,"myrcia_albidotomentosa",1
-69.250139332,2.249860742,"myrcia_albidotomentosa",1
-67.750139338,2.249860742,"myrcia_albidotomentosa",1
-67.25013934,2.249860742,"myrcia_albidotomentosa",1
-65.250139348,2.249860742,"myrcia_albidotomentosa",1
-64.75013935,2.249860742,"myrcia_albidotomentosa",1
-64.250139352,2.249860742,"myrcia_albidotomentosa",1
-63.750139354,2.249860742,"myrcia_albidotomentosa",1
-63.250139356,2.249860742,"myrcia_albidotomentosa",1
-55.750139386,2.249860742,"myrcia_albidotomentosa",1
-55.250139388,2.249860742,"myrcia_albidotomentosa",1
-54.75013939,2.249860742,"myrcia_albidotomentosa",1
-71.750139322,1.749860744,"myrcia_albidotomentosa",1
-71.250139324,1.749860744,"myrcia_albidotomentosa",1
