"","name_searched","taxonomic_status","nomenclatural_status","name_accepted","phy_names","str_order","phy_new_names"
"80","Calyptranthes spruceana","Homotypic_Synonym","Available","Myrcia hedraiophylla","calyptranthes_spruceana",80,"myrcia_hedraiophylla"
"81","Calyptranthes bipennis","Synonym","Available","Myrcia hylobates","calyptranthes_bipennis",81,"myrcia_hylobates"
"82","Calyptranthes lucida","Homotypic_Synonym","Available","Myrcia neolucida","calyptranthes_lucida",82,"myrcia_neolucida"
"83","Calyptranthes kiaerskovii","Homotypic_Synonym","Available","Myrcia neokiaerskovii","calyptranthes_kiaerskovii",83,"myrcia_neokiaerskovii"
"84","Calyptranthes clusiifolia","Homotypic_Synonym","Available","Myrcia neoclusiifolia","calyptranthes_clusiifolia",84,"myrcia_neoclusiifolia"
"85","Calyptranthes hatschbachii","Synonym","Available","Myrcia legrandii","calyptranthes_hatschbachii",85,"myrcia_legrandii"
"86","Calyptranthes brasiliensis","Synonym","Available","Myrcia loranthifolia","calyptranthes_brasiliensis",86,"myrcia_loranthifolia"
"87","Calyptranthes concinna","Synonym","Available","Myrcia glomerata","calyptranthes_concinna",87,"myrcia_glomerata"
"88","Calyptranthes widgreniana","Synonym","Available","Myrcia glomerata","calyptranthes_widgreniana",88,"myrcia_glomerata"
"89","Calyptranthes grandifolia","Synonym","Available","Myrcia loranthifolia","calyptranthes_grandifolia",89,"myrcia_loranthifolia"
"90","Calyptranthes lanceolata","Homotypic_Synonym","Available","Myrcia lonchophylla","calyptranthes_lanceolata",90,"myrcia_lonchophylla"
"91","Calyptranthes lindeniana","Synonym","Available","Calyptranthes fluviatilis","calyptranthes_lindeniana",91,"calyptranthes_fluviatilis"
"92","Calyptranthes pulchella","Homotypic_Synonym","Available","Myrcia pulchella","calyptranthes_pulchella",92,"myrcia_pulchella"
"93","Calyptranthes restingae","Homotypic_Synonym","Available","Myrcia restingae","calyptranthes_restingae",93,"myrcia_restingae"
"94","Calyptranthes fasciculata","Homotypic_Synonym","Available","Myrcia fasciculata","calyptranthes_fasciculata",94,"myrcia_fasciculata"
"95","Calyptranthes speciosa","Homotypic_Synonym","Available","Myrcia neospeciosa","calyptranthes_speciosa",95,"myrcia_neospeciosa"
"96","Myrcia calyptranthoides","Synonym","Available","Myrcia mutabilis","myrcia_calyptranthoides",96,"myrcia_mutabilis"
"97","Myrcia rupestris","Accepted","Available","Myrcia rupestris","myrcia_rupestris",97,"myrcia_rupestris"
"98","Myrcia subcordata","Accepted","Available","Myrcia subcordata","myrcia_subcordata",98,"myrcia_subcordata"
"99","Myrcia bicolor","Accepted","Available","Myrcia bicolor","myrcia_bicolor",99,"myrcia_bicolor"
"100","Myrcia lenheirensis","Accepted","Available","Myrcia lenheirensis","myrcia_lenheirensis",100,"myrcia_lenheirensis"
"101","Myrcia pulchra","Synonym","Available","Myrcia subcordata","myrcia_pulchra",101,"myrcia_subcordata"
"102","Myrcia truncata","Accepted","Available","Myrcia truncata","myrcia_aff_truncata",102,"myrcia_truncata"
"103","Myrcia ascendens","Accepted","Available","Myrcia ascendens","myrcia_ascendens",103,"myrcia_ascendens"
"104","Myrcia mucugensis","Accepted","Available","Myrcia mucugensis","myrcia_mucugensis",104,"myrcia_mucugensis"
"105","Myrcia densa","Accepted","Available","Myrcia densa","myrcia_densa",105,"myrcia_densa"
"106","Marlierea rubiginosa","Synonym","Available","Myrcia nitida","marlierea_rubiginosa",106,"myrcia_nitida"
"107","Myrcia nitida","Accepted","Available","Myrcia nitida","myrcia_nitida",107,"myrcia_nitida"
"108","Myrcia pseudomarlierea","Accepted","Available","Myrcia pseudomarlierea","myrcia_pseudomarlierea",108,"myrcia_pseudomarlierea"
"109","Myrcia mutabilis","Accepted","Available","Myrcia mutabilis","myrcia_mutabilis",109,"myrcia_mutabilis"
"110","Myrcia bicarinata","Accepted","Available","Myrcia bicarinata","myrcia_bicarinata",110,"myrcia_bicarinata"
"111","Myrcia subavenia","Accepted","Available","Myrcia subavenia","myrcia_subavenia",111,"myrcia_subavenia"
"112","Myrcia costeira","Accepted","Available","Myrcia costeira","myrcia_costeira",112,"myrcia_costeira"
"113","Myrcia folli","not found",NA,"Myrcia plusiantha","myrcia_folli",113,"myrcia_plusiantha"
"114","Myrcia subterminalis","Accepted","Available","Myrcia subterminalis","myrcia_subterminalis",114,"myrcia_subterminalis"
"115","Myrcia plusiantha","Accepted","Available","Myrcia plusiantha","myrcia_aff_plusiantha",115,"myrcia_plusiantha"
"116","Myrcia tenuifolia","Accepted","Available","Myrcia tenuifolia","myrcia_tenuifolia",116,"myrcia_tenuifolia"
"117","Marlierea glazioviana","Homotypic_Synonym","Available","Myrcia insigniflora","marlierea_glazioviana",117,"myrcia_insigniflora"
"118","Myrcia pubipetala","Accepted","Available","Myrcia pubipetala","myrcia_pubipetala",118,"myrcia_pubipetala"
"119","Myrcia crocea","Synonym","Available","Myrcia amplexicaulis","myrcia_aff_crocea",119,"myrcia_amplexicaulis"
"120","Myrcia antonia","Accepted","Available","Myrcia antonia","myrcia_antonia",120,"myrcia_antonia"
"121","Myrcia reticulosa","Accepted","Available","Myrcia reticulosa","myrcia_reticulosa",121,"myrcia_reticulosa"
"122","Myrcia venulosa","Accepted","Available","Myrcia venulosa","myrcia_venulosa",122,"myrcia_venulosa"
"123","Myrcia pubescens","Accepted","Available","Myrcia pubescens","myrcia_aff_pubescens",123,"myrcia_pubescens"
"124","Myrcia thyrsoidea","Accepted","Available","Myrcia thyrsoidea","myrcia_thyrsoidea",124,"myrcia_thyrsoidea"
"125","Myrcia anceps","Accepted","Available","Myrcia anceps","myrcia_anceps",125,"myrcia_anceps"
"126","Myrcia suffruticosa","Accepted","Available","Myrcia suffruticosa","myrcia_suffruticosa",126,"myrcia_suffruticosa"
"127","Myrcia eriopus","Accepted","Available","Myrcia eriopus","myrcia_eriopus",127,"myrcia_eriopus"
"128","Myrcia splendens","Accepted","Available","Myrcia splendens","myrcia_splendens",128,"myrcia_splendens"
"129","Myrcia microphylla","Accepted","Available","Myrcia microphylla","myrcia_microphylla",129,"myrcia_microphylla"
"130","Myrcia servata","Accepted","Available","Myrcia servata","myrcia_aff_servata",130,"myrcia_servata"
"131","Myrcia bracteata","Accepted","Available","Myrcia bracteata","myrcia_bracteata",131,"myrcia_bracteata"
"132","Myrcia coumete","Accepted","Available","Myrcia coumete","myrcia_coumete",132,"myrcia_coumete"
"133","Myrcia eximia","Accepted","Available","Myrcia eximia","myrcia_eximia",133,"myrcia_eximia"
"134","Myrcia sp1 t","not found",NA,NA,"myrcia_sp1_t",134,"myrcia_sp1_t"
"135","Myrcia elevata","Accepted","Available","Myrcia elevata","myrcia_elevata",135,"myrcia_elevata"
"136","Myrcia isaiana","Accepted","Available","Myrcia isaiana","myrcia_isaiana",136,"myrcia_isaiana"
"137","Myrcia bergiana","Accepted","Available","Myrcia bergiana","myrcia_aff_bergiana",137,"myrcia_bergiana"
"138","Myrcia megaphylla","not found",NA,"Myrcia megaphylla","myrcia_megaphylla",138,"myrcia_megaphylla"
"139","Myrcia sp2 t","not found",NA,NA,"myrcia_sp2_t",139,"myrcia_sp2_t"
"140","Myrcia glazioviana","Accepted","Available","Myrcia glazioviana","myrcia_aff_glazioviana",140,"myrcia_glazioviana"
"141","Myrcia rorida","Synonym","Available","Myrcia myrtillifolia","myrcia_rorida",141,"myrcia_myrtillifolia"
